 1 	 138998  		78.84 %
 2 	 138302  		67.28 %
 3 	 139162  		68.66 %
 4 	 137658  		66.89 %
 5 	 137956  		67.26 %
 6 	 137944  		79.55 %
 7 	 137274  		79.78 %
 8 	 137184  		79.60 %
 9 	 136620  		78.99 %
 10 	 136658  		79.13 %
 11 	 136544  		79.10 %
 12 	 136662  		78.83 %
 13 	 137244  		79.87 %
 14 	 136872  		79.57 %
 15 	 136048  		77.50 %
 16 	 136030  		78.04 %
 17 	 136046  		78.21 %
 18 	 136104  		77.99 %
 19 	 136362  		78.69 %
 20 	 135782  		78.07 %
 21 	 135714  		77.72 %
 22 	 111984  		47.00 %
 23 	 112234  		46.60 %
 24 	 113338  		48.45 %
 25 	 112234  		47.12 %
 26 	 113074  		48.07 %
 27 	 112058  		47.46 %
 28 	 112308  		47.20 %
 29 	 111856  		46.46 %
 30 	 111626  		46.72 %
 31 	 112048  		46.88 %
 32 	 111970  		46.74 %
 33 	 111848  		46.70 %
 34 	 111462  		45.89 %
 35 	 112858  		47.80 %
 36 	 111514  		46.33 %
 37 	 112264  		47.28 %
 38 	 111044  		45.42 %
 39 	 112064  		46.36 %
 40 	 111378  		46.03 %
 41 	 111692  		45.89 %
 42 	 111572  		46.21 %
 43 	 111310  		45.58 %
 44 	 110950  		45.01 %
 45 	 111210  		45.87 %
 46 	 110910  		44.40 %
 47 	 110230  		44.52 %
 48 	 109924  		44.03 %
 49 	 110436  		44.36 %
 50 	 110018  		43.92 %
 51 	 110162  		44.62 %
 52 	 110306  		43.99 %
 53 	 110222  		43.54 %
 54 	 110110  		43.16 %
 55 	 110036  		44.44 %
 56 	 110136  		43.35 %
 57 	 109996  		43.52 %
 58 	 110086  		43.31 %
 59 	 109988  		43.78 %
 60 	 110058  		43.64 %
 61 	 109970  		43.09 %
 62 	 110084  		40.56 %
 63 	 110078  		44.11 %
 64 	 110086  		43.88 %
 65 	 109578  		43.33 %
 66 	 109586  		43.90 %
 67 	 109562  		43.02 %
 68 	 109570  		43.44 %
 69 	 110058  		43.54 %
 70 	 109528  		43.25 %
 71 	 109560  		42.16 %
 72 	 109508  		42.61 %
 73 	 109580  		43.59 %
 74 	 109674  		43.54 %
 75 	 110084  		44.14 %
 76 	 109712  		43.81 %
 77 	 109568  		43.22 %
 78 	 110124  		44.03 %
 79 	 109578  		42.98 %
 80 	 109662  		43.91 %
 81 	 109516  		43.96 %
 82 	 110220  		44.37 %
 83 	 109766  		43.66 %
 84 	 109722  		43.69 %
 85 	 109678  		43.79 %
 86 	 109516  		42.32 %
 87 	 109360  		43.46 %
 88 	 109498  		43.48 %
 89 	 109322  		43.06 %
 90 	 109134  		42.57 %
 91 	 108898  		42.66 %
 92 	 108918  		42.68 %
 93 	 109978  		44.29 %
 94 	 108538  		41.83 %
 95 	 108898  		43.05 %
 96 	 109950  		44.64 %
 97 	 98124  		28.09 %
 98 	 97772  		27.58 %
 99 	 98022  		28.47 %
 100 	 108664  		42.36 %
 101 	 99114  		30.01 %
 102 	 98562  		29.22 %
 103 	 97788  		28.39 %
 104 	 97872  		28.01 %
 105 	 97704  		27.87 %
 106 	 97556  		28.04 %
 107 	 97366  		27.38 %
 108 	 95426  		24.97 %
 109 	 95784  		25.66 %
 110 	 97728  		28.16 %
 111 	 95662  		25.41 %
 112 	 95850  		25.74 %
 113 	 98902  		29.35 %
 114 	 95596  		25.16 %
 115 	 95862  		25.34 %
 116 	 95846  		25.32 %
 117 	 95554  		24.88 %
 118 	 95056  		24.13 %
 119 	 95464  		24.65 %
 120 	 94988  		23.68 %
 121 	 95094  		24.12 %
 122 	 94888  		23.74 %
 123 	 94988  		24.58 %
 124 	 94764  		24.03 %
 125 	 94482  		23.78 %
 126 	 95044  		24.37 %
 127 	 94920  		24.18 %
 128 	 94512  		23.80 %
 129 	 94988  		24.52 %
 130 	 94190  		23.17 %
 131 	 94112  		22.87 %
 132 	 94426  		23.24 %
 133 	 94412  		23.26 %
 134 	 94926  		24.57 %
 135 	 94392  		23.07 %
 136 	 94102  		23.30 %
 137 	 94116  		23.24 %
 138 	 94070  		23.14 %
 139 	 94420  		23.69 %
 140 	 94128  		23.47 %
 141 	 94798  		24.37 %
 142 	 94144  		23.47 %
 143 	 94024  		23.19 %
 144 	 94280  		23.35 %
 145 	 94956  		24.58 %
 146 	 94002  		23.12 %
 147 	 95086  		24.46 %
 148 	 95130  		24.65 %
 149 	 95056  		24.69 %
 150 	 94894  		24.58 %
 151 	 94688  		24.08 %
 152 	 94878  		23.77 %
 153 	 94750  		23.56 %
 154 	 95006  		23.82 %
 155 	 94748  		23.98 %
 156 	 94890  		23.89 %
 157 	 94596  		23.27 %
 158 	 94774  		23.34 %
 159 	 94910  		24.13 %
 160 	 94982  		23.96 %
 161 	 95070  		23.79 %
 162 	 95032  		23.85 %
 163 	 95256  		23.90 %
 164 	 94976  		23.48 %
 165 	 94822  		24.40 %
 166 	 94928  		23.73 %
 167 	 94698  		23.50 %
 168 	 95100  		23.73 %
 169 	 94528  		23.93 %
 170 	 94994  		23.51 %
 171 	 94888  		23.61 %
 172 	 94646  		23.42 %
 173 	 94852  		23.53 %
 174 	 94838  		23.58 %
 175 	 94792  		23.54 %
 176 	 94366  		23.22 %
 177 	 94808  		23.80 %
 178 	 94738  		23.70 %
 179 	 94970  		23.85 %
 180 	 94620  		23.49 %
 181 	 94176  		23.14 %
 182 	 94396  		23.29 %
 183 	 94098  		22.70 %
 184 	 94158  		23.30 %
 185 	 94340  		22.86 %
 186 	 94088  		22.52 %
 187 	 94318  		22.82 %
 188 	 94008  		22.62 %
 189 	 94112  		23.77 %
 190 	 94134  		23.81 %
 191 	 94794  		23.45 %
 192 	 94966  		23.45 %
 193 	 94460  		23.13 %
 194 	 93990  		23.19 %
 195 	 94198  		23.04 %
 196 	 94462  		23.45 %
 197 	 94298  		23.10 %
 198 	 94846  		23.58 %
 199 	 94036  		22.66 %
 200 	 94482  		23.45 %
 201 	 94756  		23.26 %
 202 	 94874  		23.58 %
 203 	 94216  		22.99 %
 204 	 93740  		22.33 %
 205 	 94126  		23.27 %
 206 	 94210  		22.98 %
 207 	 94146  		22.86 %
 208 	 94282  		23.03 %
 209 	 94986  		23.71 %
 210 	 94510  		23.43 %
 211 	 94806  		24.50 %
 212 	 94106  		23.69 %
 213 	 94868  		23.64 %
 214 	 94158  		22.25 %
 215 	 94940  		25.37 %
 216 	 94274  		24.84 %
 217 	 94130  		24.44 %
 218 	 94172  		24.39 %
 219 	 94052  		24.51 %
 220 	 93968  		24.28 %
 221 	 94272  		24.72 %
 222 	 94086  		24.71 %
 223 	 94126  		24.53 %
 224 	 94370  		23.41 %
 225 	 94108  		23.07 %
 226 	 93888  		23.75 %
 227 	 94084  		24.28 %
 228 	 94072  		24.38 %
 229 	 94928  		23.96 %
